city_id,city,population,country,lat,lng
175,Alwar,341422.0,India,27.5498,76.6355
176,Sambalpur,335761.0,India,21.47,83.97
177,Muzaffarpur,333200.0,India,26.1225,85.3906
178,Kamarhati,330211.0,India,22.6686,88.3704
179,Campiernagar,329104.0,India,27.029,83.2668
180,Bijapur,327427.0,India,16.83,75.71
181,Ratnagiri,327120.0,India,16.9944,73.3
182,Jagdalpur,325463.0,India,19.18,81.92
183,Rampur,325248.0,India,28.8,79.0
184,Shimoga,322650.0,India,13.9333,75.5667
185,Kashipur,321623.0,India,29.22,78.95
186,Junagadh,320250.0,India,21.5222,70.4579
187,Hapur,317004.0,India,28.7309,77.7757
188,Pattikad,315957.0,India,10.5276,76.2144
189,Trichur,315596.0,India,10.5276,76.2144
190,Barddhaman,314265.0,India,23.2333,87.8667
191,Panvel,311434.0,India,18.9944,73.1139
192,Nizamabad,311152.0,India,18.672,78.094
193,Parbhani,307170.0,India,19.27,76.78
194,Hisar,307024.0,India,29.15,75.7
195,Fatehpur,305638.0,India,27.98,74.95
196,Birania,305638.0,India,27.98,74.95
197,Karaikkudi,303291.0,India,10.0735,78.7732
198,Lachhmangarh Sikar,302956.0,India,27.8225,75.0253
199,Oulgaret,300104.0,India,11.9265,79.7789
200,Ingraj Bazar,300088.0,India,25.0119,88.1433
201,Bada Barabil,300000.0,India,22.12,85.4
202,Bihar,297268.0,India,25.197,85.518
203,Darbhanga,296039.0,India,26.17,85.9
204,Idar,295971.0,India,23.839,73.002
205,Sikandarabad,294858.0,India,28.4512,77.6955
206,Āizawl,293416.0,India,23.7272,92.7178
207,Bali,293373.0,India,22.65,88.34
208,Surajgarha,290998.0,India,25.25,86.23
209,Nagercoil,289916.0,India,8.175,77.4306
210,Dewas,289550.0,India,22.96,76.06
211,Sonpur,288102.0,India,25.7,85.18
212,Hugli,288090.0,India,22.9,88.39
213,Chunchura,288090.0,India,22.9,88.39
214,Ichalkaranji,287570.0,India,16.7,74.47
215,Tirupati,287482.0,India,13.65,79.42
216,Bhatinda,285813.0,India,30.23,74.9519
217,Satna,283004.0,India,24.6005,80.8322
218,Mau,278745.0,India,25.9417,83.5611
219,Barasat,278435.0,India,22.72,88.48
220,Farrukhabad,275754.0,India,27.39,79.581
221,Saugor,274556.0,India,23.83,78.71
222,Khorabar,274403.0,India,26.741,83.888
223,Ratlam,273892.0,India,23.334,75.037
224,Handwara,269311.0,India,34.3997,74.2817
225,Drug,268806.0,India,21.19,81.28
226,Anantapur,267161.0,India,14.68,77.599
227,Imphal,264986.0,India,24.8074,93.9384
228,Arrah,261430.0,India,25.5514,84.6603
229,Sivakasi,260047.0,India,9.4533,77.8024
230,Etawah,256838.0,India,26.77,79.03
231,Malkajgiri,255899.0,India,17.4519,78.5362
232,Tuni,254425.0,India,17.35,82.55
233,Amarnath,253475.0,India,19.209,73.186
234,Rapar,253137.0,India,23.57,70.63
235,Samastipur,253136.0,India,25.8629,85.7811
236,Gokak,253000.0,India,16.1667,74.8333
237,Begusarai,252008.0,India,25.42,86.13
238,Nedumana,251384.0,India,8.9139,76.6889
239,New Delhi,249998.0,India,28.6139,77.2089
240,Tiruvottiyur,249446.0,India,13.16,80.3
241,Ramnagar,249102.0,India,27.17,84.32
242,Gandhidham,248705.0,India,23.08,70.13
243,Salumbar,248337.0,India,24.08,74.02
244,Puducherry,244377.0,India,11.9167,79.8167
245,Kanpur,243800.0,India,26.4499,80.3319
246,Ramgundam,242979.0,India,18.7639,79.475
247,Pandharpur,242515.0,India,17.6778,75.3278
248,Masaurhi Buzurg,241216.0,India,25.35,85.02
249,Alleppey,240991.0,India,9.49,76.33
250,Katihar,240565.0,India,25.53,87.58
251,Ahor,239642.0,India,25.367,72.783
252,Ganganagar,237780.0,India,29.92,73.88
253,Tinkhang,236571.0,India,27.23,95.17
254,Rewa,236519.0,India,24.5381,81.2953
255,Uluberiya,235345.0,India,22.47,88.11
256,Bulandshahr,235310.0,India,28.4069,77.8497
257,Raichur,234073.0,India,16.2,77.37
258,Chauhanpatti,233691.0,India,25.15,82.6
259,Cannanore,232486.0,India,11.8745,75.3704
260,Machilipatnam,232000.0,India,16.17,81.13
261,Pali,229956.0,India,25.77,73.33
262,Songadh,229782.0,India,21.167,73.564
263,Gadda Madiral,229644.0,India,18.7519,79.5133
264,Hosur,229528.0,India,12.7409,77.8253
265,Haridwar,228832.0,India,29.945,78.163
266,Vizianagaram,228720.0,India,18.1159,83.406
267,Pathardi,228279.0,India,19.17,75.18
268,Mel Palaiyam,227895.0,India,8.7,77.7069
269,Khatima,227226.0,India,28.9198,79.9699
270,Petlad,227031.0,India,22.47,72.8
271,Pudukkottai,225500.0,India,10.3833,78.8001
272,Nadiad,225132.0,India,22.69,72.86
273,Tanjore,222943.0,India,10.787,79.1378
274,Kichha,221965.0,India,28.92,79.5
275,Katri,221875.0,India,23.48,80.4
276,Dagarua,221229.0,India,25.8,87.64
277,Sambhal,220813.0,India,28.58,78.55
278,Singrauliya,220257.0,India,24.202,82.666
279,Naihati,217900.0,India,22.89,88.42
280,Jaynagar,217820.0,India,26.5925,86.1372
281,Yamunanagar,216628.0,India,30.133,77.288
282,Pallavaram,215417.0,India,12.9675,80.1491
283,Khargone,215000.0,India,21.82,75.6187
284,Secunderabad,213698.0,India,17.4399,78.4983
285,Monghyr,213101.0,India,25.381,86.465
286,Chapra,212955.0,India,25.7848,84.7274
287,Bhadravati,212073.0,India,13.8485,75.705
288,Panchkula,211355.0,India,30.74,76.8
289,Burhanpur,210891.0,India,21.3114,76.2289
290,Kapra,209882.0,India,17.4859,78.5651
291,Nowgong,209000.0,India,26.3504,92.6796
292,Ambala,207934.0,India,30.38,76.78
293,Kharagpur,207604.0,India,22.3302,87.3237
294,Robertsonpet,207350.0,India,12.9563,78.2754
295,Dindigul,207327.0,India,10.35,77.95
296,Raniwara Kalan,206831.0,India,24.75,72.2167
297,Shimla,206575.0,India,31.1033,77.1722
298,Hospet,206167.0,India,15.2689,76.3909
299,Maldah,205521.0,India,25.0044,88.1458
300,Ongole,204746.0,India,15.506,80.049
301,Ellore,203780.0,India,16.7117,81.1031
302,Deoghar,203116.0,India,24.48,86.7
303,Chhindwara,202688.0,India,22.057,78.9396
304,Mokameh,202411.0,India,25.3898,85.9191
305,Puri,201026.0,India,19.8106,85.8314
306,Haldia,200827.0,India,22.0667,88.0698
307,Khandwa,200738.0,India,21.82,76.35
308,Nandyal,200516.0,India,15.48,78.48
309,Morena,200483.0,India,26.5,78.0
310,Karjat,200000.0,India,18.55,75.0
311,Kasba Pataspur,200000.0,India,22.0216,87.5423
312,Drabar,199429.0,India,33.43,75.09
313,Amroha,198471.0,India,28.9044,78.4675
314,Rani,198194.0,India,9.3667,76.7667
315,Chakradharpur,197953.0,India,22.7,85.63
316,Bhiwani,197662.0,India,28.78,76.13
317,Bhind,197585.0,India,26.5647,78.7864
318,Khammam,196283.0,India,17.2473,80.1514
319,Madhyamgram,196127.0,India,22.7,88.45
320,Ghandinagar,195891.0,India,23.2231,72.65
321,Baharampur,195223.0,India,24.1,88.25
322,Morbi,194947.0,India,22.82,70.83
323,Rae Bareli,191316.0,India,26.2236,81.2403
324,Orai,190575.0,India,25.98,79.47
325,Mahbubnagar,190400.0,India,16.7488,78.0035
326,Murtazabad,189117.0,India,28.7111,77.2688
327,Bhuj,188236.0,India,23.25,69.67
328,Ratanpur,187573.0,India,23.0851,72.5716
329,Bhusaval,187421.0,India,21.05,75.77
330,Bahraigh,186223.0,India,27.575,81.594
331,Umreth,185320.0,India,22.6986,73.1156
332,Ittikara,185008.0,India,8.8633,76.6972
333,Mahesana,184991.0,India,23.6,72.4
334,Alasandigutta,184625.0,India,15.6244,77.2731
335,Raiganj,183612.0,India,25.62,88.12
336,Batala,183314.0,India,31.8186,75.2028
337,Palanpur,182592.0,India,24.1722,72.4333
338,Sirsa,182534.0,India,29.5333,75.0167
339,Dinapore,182241.0,India,25.6225,85.0417
340,Tambaram,182071.0,India,12.831,80.0459
341,Shrirampur,181842.0,India,22.75,88.34
342,Himatnagar,181137.0,India,23.6,72.95
343,Guna,180935.0,India,24.65,77.32
344,Nawada,180740.0,India,24.88,85.53
345,Jaunpur,180362.0,India,25.73,82.68
346,Mahad,180191.0,India,18.083,73.417
347,Madanapalle,180180.0,India,13.55,78.5
348,Wadlakonda,180000.0,India,17.7736,79.575
349,Bhachau,180000.0,India,23.296,70.343
350,Shivpuri,179977.0,India,25.43,77.65
351,Satara,179147.0,India,17.688,74.006
352,Vada,178370.0,India,19.39,73.08
353,Phillaur,178198.0,India,31.03,75.78
354,Unnao,177658.0,India,26.55,80.49
355,Sitapur,177351.0,India,27.57,80.66
356,Kalamboli,177154.0,India,19.2333,73.1333
357,Saila,176682.0,India,25.333,72.367
358,Waraseoni,176291.0,India,21.7647,80.0494
359,Mauli,176152.0,India,30.699,76.693
360,Harnaut,176140.0,India,25.3694,85.5319
361,Chittoor,175647.0,India,13.216,79.098
362,Navadwip,175474.0,India,23.42,88.37
363,Kotdwara,175232.0,India,29.75,78.53
364,Pilibhit,175000.0,India,28.6267,79.8058
365,Cuddalore,173676.0,India,11.75,79.75
366,Gondal,173353.0,India,21.958,70.795
367,Deo,173216.0,India,24.6583,84.4378
368,Silchar,172830.0,India,24.82,92.8
